,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets,emissions
2019-12-22 00:00:00+00:00,0.5,0.0,0.6726382488479262,4936.0,5027.6,1524.5000000000005,-47.67,64.59,1.975709611369716,59.97612873200448,24.169090909090908,3.2532468047166248,0.048001348738746334
2019-12-22 01:00:00+00:00,0.01,0.0,0.6707757296466974,4598.0,4680.5,1187.1,-12.51,17.33,1.975241869527805,59.96447550353184,24.168806818181817,3.252764046310623,0.04844058614152971
2019-12-22 02:00:00+00:00,0.01,0.0,0.6652073732718894,4331.0,4393.9,929.4999999999995,-13.17,16.06,1.9747741276858937,59.952822275059205,24.168522727272727,3.252281287904621,0.04925151224582843
2019-12-22 03:00:00+00:00,0.01,0.0,0.659389400921659,4194.0,4233.4,799.2999999999997,-12.36,16.83,1.9743063858439829,59.941169046586566,24.16823863636364,3.251798529498619,0.04985603757118002
2019-12-22 04:00:00+00:00,0.01,0.0,0.6592549923195085,4134.0,4171.5,738.0999999999999,-12.31,15.22,1.973838644002072,59.92951581811393,24.167954545454545,3.2513157710926173,0.0499716697581756
2019-12-22 05:00:00+00:00,0.01,0.0,0.6641129032258064,4126.0,4178.9,720.1999999999998,-12.14,16.32,1.9733709021601609,59.91786258964129,24.16767045454545,3.2508330126866154,0.0496881074438118
2019-12-22 06:00:00+00:00,0.01,0.0,0.6630760368663595,4177.0,4269.4,816.0999999999995,-13.14,16.78,1.9729031603182496,59.90620936116865,24.167386363636364,3.250350254280613,0.04958776040633151
2019-12-22 07:00:00+00:00,0.01,0.00026809651474530834,0.6639784946236559,4235.0,4335.4,877.1999999999998,-14.52,18.03,1.9724354184763389,59.89455613269601,24.167102272727277,3.249867495874612,0.04942178868100227
2019-12-22 08:00:00+00:00,0.01,0.0371313672922252,0.6596390168970814,4502.0,4558.0,1094.9,-13.48,16.11,1.971967676634428,59.88290290422337,24.166818181818183,3.24938473746861,0.04922121679413558
2019-12-22 09:00:00+00:00,0.2,0.15630026809651473,0.6587749615975422,5003.0,5065.6,1518.1,-14.68,19.13,1.9714999347925168,59.87124967575074,24.16653409090909,3.248901979062608,0.04831488711588054
2019-12-22 10:00:00+00:00,1.0,0.27171581769437,0.6766513056835638,5430.0,5459.2,1732.5,-13.36,18.61,1.9710321929506056,59.8595964472781,24.16625,3.248419220656606,0.04690642422415593
2019-12-22 11:00:00+00:00,2.05,0.3684986595174262,0.6979646697388633,5701.0,5741.6,1831.7000000000007,-7.2,14.03,1.970564451108695,59.84794321880546,24.16596590909091,3.247936462250604,0.0456659960217673
2019-12-22 12:00:00+00:00,2.3,0.36595174262734587,0.7023617511520738,5866.0,5906.0,1975.1,-7.71,14.89,1.970096709266784,59.83628999033282,24.165681818181817,3.2474537038446023,0.04527573812949073
2019-12-22 13:00:00+00:00,2.3,0.31246648793565684,0.7109639016897081,5637.0,5734.0,1798.1999999999998,-7.34,15.03,1.969628967424873,59.82463676186018,24.16539772727273,3.2469709454386004,0.04517452376012143
2019-12-22 14:00:00+00:00,1.1,0.2432975871313673,0.7138824884792627,5531.0,5565.9,1666.4999999999995,-4.95,9.25,1.969161225582962,59.812983533387545,24.165113636363635,3.2464881870325986,0.044742341570262016
